Gene	Gene_ID	Locus	Gene_Size	Mut_Freq	Muts_per_Mbp	Mean_Gain	Mean_Loss	Selected	Num_Lists	fmi_cdx_324	fmi_heme_407	tcga_pancan_299	oncokids_170	goal_core_497	resistance_77	tempus_xt_648	pgdx_elio_505	msk_impact_505	trusight_523	profile_447	mayo_neuro_148	chop_solid_309	intogen_568	chop_heme_211	mayo_heme_42	join_all_1396	goal_full_2640	summary
TPMT	ENSG00000137364	06p22.3	3220	0.00404546	1.26	2.8161	1.9285	Y	3					1		1								1		1	1	
DEK	ENSG00000124795	06p22.3	5237	0.137642	26.28	2.8267	1.9290	Y	0																		1	A DNA binding and chromatin regulatory protein, is recurrently altered by chromosomal rearrangement in acute myeloid leukemia.
E2F3	ENSG00000112242	06p22.3	5222	0.0316895	6.07	2.9114	1.9305	Y	3								1	1	1							1	1	A transcription factor that regulates the cell cycle, is altered by amplification and overexpression in a variety of cancer types.
IRF4	ENSG00000137265	06p25.3	5350	0.0178193	3.33	2.7334	1.8921	Y	10	1	1			1	1	1	1	1	1			1	1			1	1	A transcription factor, is altered by mutation and chromosomal rearrangement in various hematologic malignancies.
FOXQ1	ENSG00000164379	06p25.3	2665	0.00924677	3.47	2.7514	1.9035	Y	2			1				1										1	1	
DUSP22	ENSG00000112679	06p25.3	4979	0.00847621	1.70	2.7511	1.8588	Y	2													1		1		1	1	A protein phosphatase, is recurrently altered by chromosomal rearrangement in anaplastic large cell lymphoma.
PTP4A1	ENSG00000112245	06q12	4992	0.0032749	0.66	2.7294	1.9147	Y	1									1								1		A protein tyrosine phosphatase, is altered by amplification at low frequencies in various cancers.
EEF1A1	ENSG00000156508	06q13	4706	0.0367945	7.82	2.5927	1.8696	Y	2			1									1					1	1	
TMEM30A	ENSG00000112697	06q14.1	5165	0.00857253	1.66	2.5839	1.8681	Y	1		1															1	1	
NT5E	ENSG00000135318	06q14.3	4278	0.0157966	3.69	2.5670	1.8467	Y	1						1											1		
MAP3K7	ENSG00000135341	06q15	6501	0.117993	18.15	2.5698	1.8391	Y	3		1			1		1										1	1	
PNRC1	ENSG00000146278	06q15	3004	0.00770564	2.57	2.5643	1.8395	Y	3								1	1	1							1	1	A nuclear receptor activator that modulates transcription of a variety of nuclear receptors. It is widely expressed in normal tissue, whereas downregulation and, in some cases, upregulation have been observed in solid cancers, including breast, gastric, hepatocellular and colorectal carcinomas.
EPHA7	ENSG00000135333	06q16.1	7536	0.0639568	8.49	2.5771	1.8364	Y	7		1			1		1	1	1	1				1			1	1	A receptor tyrosine kinase, is altered by mutation or deletion in various cancer types, most frequently in skin cancers.
PRDM1	ENSG00000057657	06q21	6066	0.0238875	3.94	2.6259	1.8305	Y	10	1	1			1		1	1	1	1	1		1	1			1	1	Encodes a transcriptional repressor involved in the cellular response to viral infection and B-cell differentiation. Deletions of PRDM1 are found in diffuse large B-cell lymphomas and prostate cancer.
CCN6	ENSG00000112761	06q21	1881	0.0136775	7.27	2.5695	1.8285	Y	4		1			1			1		1							1	1	
FOXO3	ENSG00000118689	06q21	7690	0.0634752	8.25	2.5845	1.8293	Y	3		1					1							1			1	1	
FYN	ENSG00000010810	06q21	4208	0.0244654	5.81	2.5719	1.8286	Y	2									1	1							1	1	A receptor tyrosine kinase, is altered by mutation in a variety of cancer types including hematologic malignancies and cholangiocarcinomas.
HDAC2	ENSG00000196591	06q21	10083	0.0214795	2.13	2.5530	1.8283	Y	3							1	1				1					1	1	
FRK	ENSG00000111816	06q22.1	13395	0.0128106	0.96	2.5660	1.8294	Y	0																		1	
ROS1	ENSG00000047936	06q22.1	7638	0.0724331	9.48	2.5627	1.8317	Y	11	1	1		1	1		1	1	1	1	1		1		1		1	1	A receptor tyrosine kinase, is altered by mutation or chromosomal rearrangement in a diverse range of cancers, including lung cancer.
RSPO3	ENSG00000146374	06q22.33	4835	0.00905413	1.87	2.5829	1.8457	Y	4					1						1		1		1		1	1	
SGK1	ENSG00000118515	06q23.2	6406	0.0550954	8.60	2.5999	1.8490	Y	6	1	1			1		1	1						1			1	1	A serine/threonine kinase in the PI3K signaling pathways, is altered by mutation in hematologic malignancies.
TNFAIP3	ENSG00000118503	06q23.3	4703	0.0229243	4.87	2.5953	1.8490	Y	11	1	1	1		1		1	1	1	1	1		1	1			1	1	Encodes an enzyme involved in regulation of the NF-κB pathway. Mutations of TNFAIP3 are found in lymphomas and leukemias.
MYB	ENSG00000118513	06q23.3	4728	0.0221537	4.69	2.6280	1.8489	Y	10	1			1	1		1	1		1	1	1	1		1		1	1	
IFNGR1	ENSG00000027697	06q23.3	2915	0.040262	13.81	2.5863	1.8486	Y	6						1	1	1	1	1				1			1	1	A subunit of the interferon-γ receptor, is altered by deletion in metastatic melanomas that are resistant to immunotherapy.
BCLAF1	ENSG00000029363	06q23.3	7595	0.0810056	10.67	2.5887	1.8461	Y	2							1							1			1		
ECT2L	ENSG00000203734	06q24.1	4571	0.0224427	4.91	2.5989	1.8471	Y	2		1					1										1	1	A protein of unknown function, is altered by mutation in T-cell precursor lymphoblastic leukemia.
LATS1	ENSG00000131023	06q25.1	7646	0.0308226	4.03	2.5548	1.8454	Y	6			1				1	1	1	1				1			1	1	An intracellular kinase involved in Hippo signaling, is recurrently altered by mutation in various cancer types.
ZBTB2	ENSG00000181472	06q25.1	3115	0.00924677	2.97	2.5737	1.8489	Y	3					1			1		1							1	1	
ESR1	ENSG00000091831	06q25.1-q25.2	12786	0.0207089	1.62	2.5794	1.8487	Y	13	1	1	1	1	1		1	1	1	1	1		1	1	1		1	1	Estrogen receptor alpha is a transcription factor that is frequently mutated in hormone-resistant metastatic breast cancers.
ARID1B	ENSG00000049618	06q25.3	12356	0.164708	13.33	2.5370	1.8363	Y	9				1	1		1	1	1	1	1		1	1			1	1	A tumor suppressor involved in transcriptional regulation, is inactivated by mutation or deletion in various cancer types.
EZR	ENSG00000092820	06q25.3	3192	0.0197457	6.19	2.5459	1.8402	Y	1	1																1	1	
PRKN	ENSG00000185345	06q26	5638	0.0167598	2.97	2.5365	1.8372	Y	7	1				1		1	1	1	1	1						1	1	Encodes a tumor suppressor invovled in tagging cellular proteins for degradation. PARK2 is inactivated in various cancer types, and its dysfunction is associated with hereditary Parkinson's disease.
QKI	ENSG00000112531	06q26	15838	0.0121364	0.77	2.5437	1.8367	Y	8	1				1		1	1		1	1	1		1			1	1	
MAP3K4	ENSG00000085511	06q26	5655	0.209112	36.98	2.5434	1.8399	Y	2			1							1							1		
EGFR	ENSG00000146648	07p11.2	11447	0.0570218	4.98	4.1495	1.9774	Y	14	1	1	1	1	1		1	1	1	1	1	1	1	1	1		1	1	A receptor tyrosine kinase, is altered by amplification and/or mutation in lung and brain cancers among others.
IKZF1	ENSG00000185811	07p12.2	8181	0.0482566	5.90	3.0359	1.9641	Y	12	1	1		1	1		1	1	1	1	1		1	1	1		1	1	Encodes a transcription factor involved in lymphocyte development. Loss-of-function alterations of IKZF1 are frequently found in B-cell acute lymphocytic leukemia.
INHBA	ENSG00000122641	07p14.1	6594	0.146118	22.16	3.0373	1.9672	Y	5		1			1			1	1	1							1	1	A regulator of gonadal hormone secretion, is altered by mutation in various cancer types.
NOD1	ENSG00000106100	07p14.3	4559	0.0256213	5.62	3.0663	1.9649	Y	1		1															1	1	
HOXA11	ENSG00000005073	07p15.2	2677	0.0390098	14.57	3.0683	1.9663	Y	2							1							1			1	1	
JAZF1	ENSG00000153814	07p15.2-p15.1	3193	0.0105953	3.32	3.0697	1.9657	Y	4					1						1		1		1		1	1	
HDAC9	ENSG00000048052	07p21.1	13171	0.0406473	3.09	3.0844	1.9612	Y	2				1								1					1	1	
ETV1	ENSG00000006468	07p21.2	7785	0.0275477	3.54	3.0928	1.9604	Y	8					1		1	1	1	1	1		1		1		1	1	A transcription factor, is altered by chromosomal rearrangement or overexpression in various cancer types.
PMS2	ENSG00000122512	07p22.1	5210	0.0209979	4.03	3.0484	1.9573	Y	9	1		1		1		1	1	1	1	1			1			1	1	Encodes a tumor suppressor involved in DNA mismatch repair. Germline mutations of PMS2 are associated with Lynch Syndrome and predispose to colorectal cancer.
RAC1	ENSG00000136238	07p22.1	2394	0.00597187	2.49	3.0510	1.9582	Y	9	1		1		1		1	1	1	1	1			1			1	1	Encodes a RAS superfamily small GTPase involved in the regulation of cell adhesion, differentiation and migration. RAC1 is predominantly mutated in melanoma and has several well-defined hotspot mutations.
ACTB	ENSG00000075624	07p22.1	3188	0.015026	4.71	3.0530	1.9568	Y	1		1															1	1	
CARD11	ENSG00000198286	07p22.2	4466	0.129262	28.94	3.0391	1.9524	Y	11	1	1	1		1		1	1	1	1	1		1	1			1	1	A scaffolding protein, is altered in various cancer types including skin cancer and diffuse large B-cell lymphoma.
UNCX	ENSG00000164853	07p22.3	2103	0.00992102	4.72	2.9871	1.9281	Y	1			1														1		
GNA12	ENSG00000146535	07p22.3-p22.2	5407	0.0272587	5.04	3.0325	1.9519	Y	1		1															1	1	A guanine nucleotide exchange protein, is infrequently altered across various cancer types.
SBDS	ENSG00000126524	07q11.21	1635	0.00520131	3.18	3.0168	1.9757	Y	3					1			1			1						1	1	
GTF2I	ENSG00000263001	07q11.23	5677	0.0202273	3.56	2.9704	1.9677	Y	2			1											1			1	1	A transcription factor, is recurrently altered by mutation in thymic tumors and lymphomas.
HGF	ENSG00000019991	07q21.11	9557	0.0259102	2.71	3.0387	1.9680	Y	10	1	1	1		1		1	1	1	1			1	1			1	1	Encodes the natural ligand of the tyrosine kinase MET. Aberrant HGF expression with increased MET signaling has been described in various tumor types and results in increased cell survival, motility and metastasis.
CD36	ENSG00000135218	07q21.11	5839	0.00866885	1.48	3.0330	1.9673	Y	1		1															1	1	
MAGI2	ENSG00000187391	07q21.11	13357	0.0536505	4.02	2.9754	1.9660	Y	4					1		1	1		1							1	1	
PCLO	ENSG00000186472	07q21.11	22773	0.201503	8.85	3.0329	1.9675	Y	1		1															1	1	
GRM3	ENSG00000198822	07q21.11-q21.12	4292	0.0350607	8.17	3.0191	1.9673	Y	5	1				1		1	1		1							1	1	
ABCB1	ENSG00000085563	07q21.12	5678	0.0695434	12.25	3.0244	1.9672	Y	2							1							1			1	1	
CDK6	ENSG00000105810	07q21.2	11744	0.00770564	0.66	3.1331	1.9679	Y	11	1	1		1	1		1	1	1	1	1	1	1				1	1	An intracellular kinase, is amplified in various cancer types.
SAMD9	ENSG00000205413	07q21.2	6867	0.0650164	9.47	3.1063	1.9679	Y	1					1												1	1	
SAMD9L	ENSG00000177409	07q21.2	7170	0.0321711	4.49	3.1004	1.9674	Y	1					1												1	1	
CUX1	ENSG00000257923	07q22.1	15699	0.0627047	3.99	3.0103	1.9570	Y	6		1			1		1			1	1			1			1	1	A transcription factor, is frequently altered in several cancers types by deletion, mutation or translocation.
EPHB4	ENSG00000196411	07q22.1	4421	0.0824504	18.65	3.0302	1.9623	Y	2	1							1									1	1	
RELN	ENSG00000189056	07q22.1	11983	0.118667	9.90	3.0096	1.9544	Y	2		1													1		1	1	An extracellular glycoprotein involved in neuronal migration, is altered by mutation in neurological disorders and in solid and hematologic malignancies.
MUC17	ENSG00000169876	07q22.1	14404	0.379118	26.32	3.0254	1.9605	Y	1												1					1		
PIK3CG	ENSG00000105851	07q22.3	7409	0.0381429	5.15	3.0011	1.9536	Y	8		1	1		1		1	1	1	1			1				1	1	Encodes a kinase involved in modulation of the extracellular signal. Inactivating mutations of PIK3CG are found in uterine, endometrial, skin and lung cancers, among others.
RINT1	ENSG00000135249	07q22.3	2920	0.0162782	5.57	3.0065	1.9531	Y	3					1		1				1						1	1	
SLC26A3	ENSG00000091138	07q22.3-q31.1	2966	0.085051	28.68	2.9996	1.9531	Y	1							1										1		
MET	ENSG00000105976	07q31	6969	0.0529763	7.60	3.0574	1.9462	Y	13	1	1	1	1	1		1	1	1	1	1		1	1	1		1	1	A receptor tyrosine kinase, is recurrently altered by mutation, amplification and/or overexpression in various cancer types.
CFTR	ENSG00000001626	07q31.2	6332	0.200443	31.66	3.0194	1.9464	Y	1							1										1		
POT1	ENSG00000128513	07q31.33	4634	0.0535542	11.56	2.9613	1.9390	Y	8		1			1		1	1	1		1	1		1			1	1	A tumor suppressor that functions as a telomere binding protein, is altered by mutation in hematologic malignancies.
SMO	ENSG00000128602	07q32.1	4025	0.0513389	12.76	2.9645	1.9447	Y	11	1	1			1		1	1	1	1	1	1	1	1			1	1	A G-protein coupled receptor, is mutated in various cancers including basal cell carcinoma and medulloblastoma.
BRAF	ENSG00000157764	07q34	14486	0.0664612	4.59	2.9768	1.9424	Y	14	1	1	1	1	1		1	1	1	1	1	1	1	1	1		1	1	An intracellular kinase, is frequently mutated in melanoma, thyroid and lung cancers among others.
KEL	ENSG00000197993	07q34	2570	0.0519168	20.20	2.9653	1.9384	Y	8	1		1		1		1	1		1		1		1			1	1	
LUC7L2	ENSG00000146963	07q34	3071	0.00356386	1.16	2.9706	1.9433	Y	0																		1	
PRSS1	ENSG00000204983	07q34	883	0.717684	812.78	2.9820	1.8674	Y	3							1	1			1						1	1	Encodes the digestive pro-enzyme trypsinogen, which is activated in the small intestine. Mutations in PRSS1 are associated with pancreatitis and increased risk of pancreatic cancer.
EZH2	ENSG00000106462	07q36.1	3155	0.0284146	9.01	2.9498	1.9337	Y	15	1	1	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	An epigenetic modifier, is altered by mutation and/or overexpression in solid tumors and hematologic malignancies.
KMT2C	ENSG00000055609	07q36.1	17096	0.840686	49.17	2.9483	1.9265	Y	12		1	1	1	1		1	1	1	1		1	1	1	1		1	1	A tumor suppressor and histone methyltransferase, is altered in various solid and hematologic malignancies.
XRCC2	ENSG00000196584	07q36.1	4783	0.0065498	1.37	2.9466	1.9281	Y	7	1				1		1	1	1	1	1						1	1	Encodes a protein involved in DNA double-strand break repair. Germline mutations of XRCC2 are associated with an increased risk developing of breast cancer.
CUL1	ENSG00000055130	07q36.1	3853	0.027644	7.17	2.9483	1.9330	Y	2			1				1										1	1	
RHEB	ENSG00000106615	07q36.1	2459	0.00568291	2.31	2.9445	1.9219	Y	5			1				1		1	1	1						1	1	Encodes the protein Ras homolog enriched in brain (RHEB), a GTPase that is a direct upstream activator of the mTOR pathway. While RHEB is infrequently mutated in human cancer, it has been shown to be overexpressed in many cancer types, likely due to amplifications and/or post-transcriptional regulation.
PAXIP1	ENSG00000157212	07q36.2	3950	0.198517	50.26	2.9423	1.9299	Y	1											1						1	1	
SHH	ENSG00000164690	07q36.3	4662	0.092853	19.92	2.9420	1.9297	Y	2							1					1					1	1	
KAT6A	ENSG00000083168	08p11.21	12877	0.175207	13.61	3.0292	1.8733	Y	7		1			1		1	1		1	1			1			1	1	A histone acetyltransferase, is recurrently altered by translocation in acute myeloid leukemia.
IDO1	ENSG00000131203	08p11.21	2121	0.0119437	5.63	2.9815	1.8457	Y	2						1	1										1		
DKK4	ENSG00000104371	08p11.21	912	0.00577923	6.34	3.0190	1.8759	Y	0																		1	A negative regulator of WNT signaling, is overexpressed or downregulated in various cancer types.
FGFR1	ENSG00000077782	08p11.23	6606	0.188018	28.46	3.1351	1.8399	Y	14	1	1	1	1	1		1	1	1	1	1	1	1	1	1		1	1	A receptor tyrosine kinase, is altered by mutation, chromosomal rearrangement or amplification in various cancer types including lung and breast cancers.
ZNF703	ENSG00000183779	08p11.23	3324	0.0275477	8.29	3.0629	1.8323	Y	5	1	1			1			1		1							1	1	
ADGRA2	ENSG00000020181	08p11.23	7020	0.105856	15.08	3.0648	1.8340	Y	4		1			1			1		1							1	1	
NSD3	ENSG00000147548	08p11.23	12491	0.0437295	3.50	3.1398	1.8382	Y	4	1							1	1		1						1	1	A histone methyltransferase, is altered by amplification in various cancers.
WRN	ENSG00000165392	08p12	7715	0.127432	16.52	2.6179	1.7620	Y	6					1		1	1			1	1		1			1	1	
DUSP4	ENSG00000120875	08p12	7297	0.00992102	1.36	2.6054	1.7509	Y	1									1								1	1	A protein phosphatase, is deleted in a small subset of prostate and lung cancers.
NRG1	ENSG00000157168	08p12	17481	0.0341938	1.96	2.6615	1.7687	Y	6							1			1	1		1	1	1		1	1	A ligand for ERBB receptor kinases, is recurrently altered by fusion in lung adenocarcinoma and pancreatic cancer.
PPP2R2A	ENSG00000221914	08p21.2	4426	0.015026	3.39	2.5682	1.7387	Y	4	1						1	1		1							1	1	A subunit of the PP2A phosphatase, is altered by mutation and deletion in various cancer types.
NKX3-1	ENSG00000167034	08p21.2	3286	0.00683876	2.08	2.5704	1.7347	Y	4								1	1	1	1						1	1	A transcription factor expressed in prostate lineages, is altered by deletion and mutation including in prostate cancer.
PTK2B	ENSG00000120899	08p21.2	4972	0.0326527	6.57	2.5862	1.7435	Y	3											1		1		1		1	1	
EGR3	ENSG00000179388	08p21.3	4639	0.0119437	2.57	2.5661	1.7343	Y	1			1														1	1	
ATP6V1B2	ENSG00000147416	08p21.3	2912	0.0360239	12.37	2.5898	1.7403	Y	0																		1	A component of the V-ATPase complex, is recurrently mutated in follicular lymphoma.
TUSC3	ENSG00000104723	08p22	4050	0.0149297	3.69	2.6154	1.7405	Y	2		1					1										1	1	
GATA4	ENSG00000136574	08p23.1	3828	0.0185899	4.86	2.6763	1.7398	Y	6	1				1		1	1		1	1						1	1	
NEIL2	ENSG00000154328	08p23.1	2795	0.00818725	2.93	2.6739	1.7402	Y	1											1						1	1	
ARHGEF10	ENSG00000104728	08p23.3	6571	0.0406473	6.19	2.6242	1.7449	Y	1														1			1		
PRKDC	ENSG00000253729	08q11.21	13845	0.154787	11.18	3.1234	1.9522	Y	6		1			1		1	1		1	1						1	1	
SOX17	ENSG00000164736	08q11.23	2354	0.0191678	8.14	3.1452	1.9567	Y	5			1					1	1	1				1			1	1	Encodes a transcription factor involved in embryonic development and cell fate. Methylation and downregulation of SOX17 are found in colon, liver, lung and breast cancers.
LYN	ENSG00000254087	08q12.1	5924	0.0121364	2.05	3.1376	1.9580	Y	6	1				1		1	1	1	1							1	1	A non-receptor tyrosine kinase, is altered by amplification in various cancers.
PLAG1	ENSG00000181690	08q12.1	7358	0.0632826	8.60	3.1442	1.9593	Y	5				1	1								1	1	1		1	1	
RPS20	ENSG00000008988	08q12.1	2632	0.102292	38.86	3.1415	1.9590	Y	1					1												1	1	
CHD7	ENSG00000171316	08q12.2	13157	0.168368	12.80	3.1625	1.9580	Y	2				1			1										1		
MYBL1	ENSG00000185697	08q13.1	5301	0.0171451	3.23	3.1964	1.9651	Y	2											1	1					1	1	
PREX2	ENSG00000046889	08q13.2	10984	0.082932	7.55	3.2083	1.9658	Y	6					1		1	1	1	1				1			1	1	A positive mediator of RAC1 GTPase, is predominantly mutated in melanomas.
C8orf34	ENSG00000165084	08q13.2	10171	0.024947	2.45	3.2092	1.9671	Y	1							1										1		
NCOA2	ENSG00000140396	08q13.3	8522	0.0600077	7.04	3.2153	1.9675	Y	5				1	1								1	1	1		1	1	
PRDM14	ENSG00000147596	08q13.3	2301	0.0180119	7.83	3.2204	1.9670	Y	1									1								1		A transcriptional regulator, is amplified and overexpressed in breast cancer.
ELOC	ENSG00000154582	08q21.11	4962	0.0027933	0.56	3.2413	1.9719	Y	6			1		1		1		1	1	1						1	1	Encodes a protein that is a component of the VHL ubiquitination complex. A hotspot mutation of TCEB1 is associated with a distinct subtype of renal cell carcinoma.
TERF1	ENSG00000147601	08q21.11	3369	0.137642	40.86	3.2297	1.9724	Y	1												1					1	1	
TRPA1	ENSG00000104321	08q21.11	5299	0.0407436	7.69	3.2156	1.9641	Y	1												1					1		
PAG1	ENSG00000076641	08q21.13	10780	0.00992102	0.92	3.2789	1.9673	Y	1		1															1	1	
NBN	ENSG00000104320	08q21.3	4887	0.0226353	4.63	3.2903	1.9666	Y	7	1				1		1	1	1	1	1						1	1	A tumor suppressor involved in DNA double-strand break repair. Germline mutations of NBN are associated with Nijmegen breakage syndrome and predispose to cancer.
CNBD1	ENSG00000176571	08q21.3	1677	0.02225	13.27	3.2868	1.9672	Y	1			1														1		
RUNX1T1	ENSG00000079102	08q21.3	9711	0.0673281	6.93	3.3004	1.9706	Y	8					1		1	1		1	1		1	1	1		1	1	A transcriptional repressor, is recurrently altered by fusion in acute myeloid leukemias.
GEM	ENSG00000164949	08q22.1	2238	0.0117511	5.25	3.3069	1.9702	Y	1						1											1		
RAD54B	ENSG00000197275	08q22.1	4635	0.0846658	18.27	3.3085	1.9700	Y	2								1			1						1	1	
DCSTAMP	ENSG00000164935	08q22.3	1999	0.0270661	13.54	3.4013	1.9708	Y	1														1			1		
PABPC1	ENSG00000070756	08q22.3	2921	0.651416	223.01	3.4047	1.9715	Y	1														1			1		
UBR5	ENSG00000104517	08q22.3	11349	0.115103	10.14	3.3867	1.9706	Y	1														1			1	1	An E3 ubiquitin ligase, is recurrently altered by mutation in mantle cell lymphomas.
RSPO2	ENSG00000147655	08q23.1	3475	0.0144481	4.16	3.4020	1.9699	Y	5	1				1						1		1		1		1	1	
EIF3E	ENSG00000104408	08q23.1	2074	0.0138702	6.69	3.3999	1.9705	Y	1														1			1	1	
RAD21	ENSG00000164754	08q24.11	5502	0.0184935	3.36	3.4577	1.9726	Y	12	1	1	1		1		1	1	1	1	1			1	1	1	1	1	Encodes a protein involved in DNA repair and chromosome segregation. Germline mutations of RAD21 are associated with an increased risk of developing breast cancer.
EXT1	ENSG00000182197	08q24.11	8287	0.0256213	3.09	3.4532	1.9727	Y	3					1			1			1						1	1	
RNF139	ENSG00000170881	08q24.13	3207	0.0113658	3.54	3.4917	1.9757	Y	1							1										1		
MYC	ENSG00000136997	08q24.21	4600	0.0725294	15.77	3.6893	1.9770	Y	14	1	1	1	1	1		1	1	1	1	1	1	1	1	1		1	1	A transcription factor, is altered by chromosomal rearrangement, amplification and overexpression in a variety of cancer types.
FAM135B	ENSG00000147724	08q24.23	7481	0.151512	20.25	3.3747	1.9643	Y	1														1			1		
RECQL4	ENSG00000160957	08q24.3	3976	0.0471971	11.87	3.3050	1.9448	Y	7					1		1	1	1	1	1			1			1	1	Encodes a DNA helicase that is involved in DNA replication and repair. Germline mutations of RECQL4 are associated with Rothmund-Thomson, RAPADILINO and Baller-Gerold syndromes and predispose to osteosarcomas, among other cancers.
ADGRB1	ENSG00000181790	08q24.3	6365	0.0539395	8.47	3.3213	1.9502	Y	1														1			1		
AGO2	ENSG00000123908	08q24.3	14671	0.0383356	2.61	3.3273	1.9591	Y	1									1								1		An enzyme involved in the RNA-mediated gene silencing, is overexpressed in various cancer types.
PTK2	ENSG00000169398	08q24.3	9145	0.0314005	3.43	3.3298	1.9578	Y	1								1									1	1	
PAX5	ENSG00000196092	09p13.2	8853	0.0288962	3.26	2.6186	1.8660	Y	12	1	1	1	1	1		1	1	1	1	1		1		1		1	1	Encodes a transcription factor involved in B-cell development. Translocations of PAX5 are found in lymphomas and leukemias.
FANCG	ENSG00000221829	09p13.3	2612	0.0199384	7.63	2.6467	1.8731	Y	7	1	1			1		1	1		1	1						1	1	
TEK	ENSG00000120156	09p21.2	4900	0.067906	13.86	2.6140	1.7971	Y	3	1							1	1								1	1	A receptor tyrosine kinase involved in angiogenesis, is rarely mutated in cancers.
CDKN2A	ENSG00000147889	09p21.3	3189	0.0804277	25.22	2.5742	1.5480	Y	14	1	1	1	1	1		1	1	1	1	1	1	1	1	1		1	1	Encodes two proteins, p16INK4A and p14ARF, that regulate the cell growth and survival. CDKN2A is altered by mutation and/or deletion in a broad range of solid and hematologic cancers.
CDKN2B	ENSG00000147883	09p21.3	3984	0.00635716	1.60	2.5768	1.5558	Y	12	1	1		1	1		1	1	1	1	1	1	1		1		1	1	A tumor suppressor and cell cycle regulator, is inactivated by mutation or deletion in various cancer types.
MTAP	ENSG00000099810	09p21.3	12881	0.00934309	0.73	2.5765	1.6024	Y	5	1						1	1	1		1						1	1	A tumor suppressor and phosphorylase involved in methionine salvage pathways, is recurrently altered by deletion in a variety of cancer types.
MLLT3	ENSG00000171843	09p21.3	6984	0.0750337	10.74	2.5993	1.7734	Y	3							1			1				1			1	1	
PSIP1	ENSG00000164985	09p22.3	4111	0.0131959	3.21	2.6276	1.8127	Y	2			1											1			1	1	
JAK2	ENSG00000096968	09p24.1	7123	0.0338085	4.75	2.6630	1.8070	Y	16	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	An intracellular kinase, is frequently altered by mutation or chromosomal rearrangement in hematologic malignancies.
CD274	ENSG00000120217	09p24.1	3713	0.00664612	1.79	2.6832	1.8071	Y	10	1	1			1	1	1	1	1	1	1		1				1	1	Aka PD-L1, is an immune receptor ligand. Expression of PD-L1 may help predict response to immunotherapies targeted against PD-L1 and its receptor, PD-1.
PDCD1LG2	ENSG00000197646	09p24.1	2460	0.0271624	11.04	2.6732	1.8070	Y	10	1	1			1	1	1	1	1	1	1			1			1	1	A ligand of T-cell receptors involved in immune suppression, is overexpressed in various cancer types.
KDM4C	ENSG00000107077	09p24.1	7339	0.0606819	8.27	2.6382	1.8091	Y	2		1		1													1	1	
PTPRD	ENSG00000153707	09p24.1-p23	10797	0.0725294	6.72	2.6412	1.8048	Y	8			1		1		1	1	1	1		1		1			1	1	A tumor suppressor and receptor protein tyrosine phosphatase, is altered by mutation or deletion in various cancer types including skin and lung cancers.
DOCK8	ENSG00000107099	09p24.3	8220	0.111154	13.52	2.6433	1.8058	Y	1											1						1	1	
SMARCA2	ENSG00000080503	09p24.3	14142	0.0666538	4.71	2.6233	1.8066	Y	1									1								1	1	A tumor suppressor involved in chromatin remodeling, is infrequently altered by mutation in various cancer types. Germline mutations of SMARCA2 are associated with Nicolaides-Barraitser syndrome.
CBWD3	ENSG00000196873	09q21.11	3119	0.00732036	2.35	2.6387	1.9006	Y	1			1														1		
GNAQ	ENSG00000156052	09q21.2	6910	0.0921788	13.34	2.5738	1.9004	Y	13	1	1	1	1	1		1	1	1	1	1	1	1	1			1	1	A G protein subunit, is recurrently mutated in uveal melanoma.
HNRNPK	ENSG00000165119	09q21.32	3098	0.015315	4.94	2.5750	1.9035	Y	2										1					1		1	1	
NTRK2	ENSG00000148053	09q21.33	20455	0.0262955	1.29	2.5721	1.9036	Y	11	1	1		1	1		1	1	1	1	1		1		1		1	1	A receptor tyrosine kinase, is altered by mutation or chromosomal rearrangement in a diverse range of cancers.
NR4A3	ENSG00000119508	09q22	6350	0.16962	26.71	2.5681	1.9033	Y	1				1													1	1	A hormone receptor transcription factor, is rarely altered by chromosomal rearrangement in extraskeletal myxoid chondrosarcoma.
SYK	ENSG00000165025	09q22.2	5240	0.0226353	4.32	2.5729	1.9041	Y	6	1				1		1	1	1	1							1	1	Encodes a tyrosine kinase involved in signal transduction. Upregulation of SYK is found in lymphomas, leukemias and select epithelial tumors.
WNK2	ENSG00000165238	09q22.31	7468	0.0685802	9.18	2.5729	1.9024	Y	2							1							1			1		
PTCH1	ENSG00000185920	09q22.32	10557	0.0693508	6.57	2.5666	1.9023	Y	13	1	1	1	1	1		1	1	1	1	1	1	1	1			1	1	A tumor suppressor and inhibitor of the hedgehog pathway, is recurrently mutated in basal cell carcinoma.
FANCC	ENSG00000158169	09q22.32	5794	0.0220574	3.81	2.5702	1.9029	Y	10	1	1			1		1	1	1	1	1		1	1			1	1	A tumor suppressor and DNA repair protein, is infrequently altered in cancer. Germline mutations of FANCC are associated with the cancer predisposition syndrome Fanconi Anemia.
PTPDC1	ENSG00000158079	09q22.32	4938	0.0325563	6.59	2.5720	1.9028	Y	1			1														1		
GALNT12	ENSG00000119514	09q22.33	2804	0.0152186	5.43	2.5677	1.9023	Y	2							1				1						1	1	
